raw_text,title,denomination,category,date_of_issue,Image
"30th Oct 2002:     'Sonneratia Alba'  

Denomination	INR 15.00",'Sonneratia Alba',INR 15.00,,30 Oct 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel60.gif
"30th Oct 2002:    

 'Nypa Fruticans'  

Denomination	INR 05.00",'Nypa Fruticans',INR 05.00,,30 Oct 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel59.gif
"30th Oct 2002:     'Rhizophora Mucronata'  

Denomination	INR 05.00",'Rhizophora Mucronata',INR 05.00,,30 Oct 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel58.gif
"28th Oct 2002:    

'Bihar Chambers'  

Denomination	INR 04.00",'Bihar Chambers',INR 04.00,,28 Oct 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel57.gif
"15th Oct 2002:     'Bhagwan Baba'  

Denomination	INR 05.00",'Bhagwan Baba',INR 05.00,,15 Oct 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel56.gif
"12th Oct 2002:    

'Kanika Bandopadyaya'  

Denomination	INR 05.00",'Kanika Bandopadyaya',INR 05.00,,12 Oct 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel55.gif
"12th Oct 2002:    

'Arya Vaidyashala Kottakkal'  

Denomination	INR 05.00",'Arya Vaidyashala Kottakkal',INR 05.00,,12 Oct 2002,https://postagestamps.gov.in/images/Stamps2002/Stamp-Rel54.gif
"11th Oct 2002:    

'Ananda Nilayam Vimanam'   

Denomination	INR 15.00",'Ananda Nilayam Vimanam',INR 15.00,,11 Oct 2002,https://postagestamps.gov.in/images/stp021.gif
"26th Aug 2002:   

'Bhaurao Krishnarao Gaikwad'  

Denomination	INR 04.00",'Bhaurao Krishnarao Gaikwad',INR 04.00,,26 Aug 2002,https://postagestamps.gov.in/images/Stamp-Rel50.gif
"12th Aug 2002:     Social Reformer  'Ayyan Kali'  

Denomination	INR 05.00",Social Reformer 'Ayyan Kali',INR 05.00,,12 Aug 2002,https://postagestamps.gov.in/images/Stamp-Rel51.gif
"12th Aug 2002:    Social Reformer   'Gora'  

Denomination	INR 05.00",Social Reformer 'Gora',INR 05.00,,12 Aug 2002,https://postagestamps.gov.in/images/Stamp-Rel52.gif
"12th Aug 2002:    Social Reformer   'Chandraprabha Saikiani'  

Denomination	INR 05.00",Social Reformer 'Chandraprabha Saikiani',INR 05.00,,12 Aug 2002,https://postagestamps.gov.in/images/Stamp-Rel53.gif
"10th Aug 2002:   

 'Vithal Rao Patil'  

Denomination	INR 04.00",'Vithal Rao Patil',INR 04.00,,10 Aug 2002,https://postagestamps.gov.in/images/stp020.gif
"10th Aug 2002:   

'Sant Tukaram'  

Denomination	INR 04.00",'Sant Tukaram',INR 04.00,,10 Aug 2002,https://postagestamps.gov.in/images/Stamp-Rel49.gif
"9th Aug 2002:   

'Anand Rishui Maharaj'  

Denomination	INR 04.00",'Anand Rishui Maharaj',INR 04.00,,9 Aug 2002,https://postagestamps.gov.in/images/Stamp-Rel48.gif
"1st Aug 2002:   

'Anna Bhau Sathe'  

Denomination	INR 04.00",'Anna Bhau Sathe',INR 04.00,,1 Aug 2002,https://postagestamps.gov.in/images/Stamp-Rel47.gif
"23rd Jul 2002:   

'Sree Thakur Satyananda'  

Denomination	INR 05.00",'Sree Thakur Satyananda',INR 05.00,,23 Jul 2002,https://postagestamps.gov.in/images/Stamp-Rel46.gif
"22nd Jun 2002:   

 'Pandit Suryanarayan Vyas'  

Denomination	INR 05.00",'Pandit Suryanarayan Vyas',INR 05.00,,22 Jun 2002,https://postagestamps.gov.in/images/Stamp-Rel42.gif
"22nd Jun 2002:   

'Shri Brajlal Biyani'  

Denomination	INR 04.00",'Shri Brajlal Biyani',INR 04.00,,22 Jun 2002,https://postagestamps.gov.in/images/Stamp-Rel43.gif
"22nd Jun 2002:   

 'Shri Babu Gulabrai' Deshpande'  

Denomination	INR 05.00",'Shri Babu Gulabrai' Deshpande',INR 05.00,,22 Jun 2002,https://postagestamps.gov.in/images/Stamp-Rel44.gif
"16th Jun 2002:   

'Shri P.L. Deshpande'  

Denomination	INR 04.00",'Shri P.L. Deshpande',INR 04.00,,16 Jun 2002,https://postagestamps.gov.in/images/Stamp-Rel41.gif
"25th May 2002:   

'Cotton College, Guwahati'  

Denomination	INR 04.00","'Cotton College, Guwahati'",INR 04.00,,25 May 2002,https://postagestamps.gov.in/images/Stamp-Rel40.gif
"19th May 2002:    'Prabhodankar Thackeray'

Denomination	INR 04.00",'Prabhodankar Thackeray',INR 04.00,,19 May 2002,https://postagestamps.gov.in/images/Stamp-Rel39.gif
"13th May 2002:   

 'Golden Jubilee'  - Parliament of India

Denomination	INR 04.00",'Golden Jubilee' - Parliament of India,INR 04.00,,13 May 2002,https://postagestamps.gov.in/images/Stamp-Rel38.gif
"26th April 2002:   'Kathakali and Kabuki'

Denomination	INR 15.00",'Kathakali and Kabuki',INR 15.00,,26 Apr 2002,https://postagestamps.gov.in/images/Stamp-Rel37.gif
"16th April 2002:    '150 Years of Railways in India'

Denomination	INR 15.00",'150 Years of Railways in India',INR 15.00,,16 Apr 2002,https://postagestamps.gov.in/images/Stamp-Rel45.gif
"6th April 2002:        'Sido Murmu - Kanhu Murmu'

Denomination	INR 04.00",'Sido Murmu - Kanhu Murmu',INR 04.00,,6 Apr 2002,https://postagestamps.gov.in/images/Stamp-Rel36.gif
"18th March 2002:        'Indian Ordinance Factories'

Denomination	INR 04.00",'Indian Ordinance Factories',INR 04.00,,18 Mar 2002,https://postagestamps.gov.in/images/Stamp-Rel35.gif
